Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.15583333
Longitude: -45.00833333
Altitude: 447.51
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);
2022-08-31;0;
2022-09-30;38.7;
2022-10-31;32.8;
2022-11-30;471.4;
2022-12-31;null;
2023-01-31;226.5;
2023-02-28;8;
2023-03-31;126.9;
2023-04-30;53.1;
2023-05-31;0;
2023-06-30;0;
2023-07-31;0;
2023-08-31;1;
2023-09-30;11.5;
2023-10-31;27.5;
2023-11-30;64.4;
2023-12-31;null;
2024-01-31;366.6;
2024-02-29;328.1;
2024-03-31;42;
2024-04-30;102.9;
2024-05-31;0;
2024-06-30;0;
2024-07-31;0;
2024-08-31;0;
2024-09-30;0;
2024-10-31;68.2;
2024-11-30;219.6;
2024-12-31;67.3;

