Chave_Mensal,Ano,Mes,Preco_Real,Chuva_mm
2020-02,2020,02,87.61,187.5
2020-03,2020,03,94.97,271.8
2020-04,2020,04,102.3,139.6
2020-05,2020,05,110.41,23.4
2020-06,2020,06,109.76,0.0
2020-07,2020,07,116.05,0.0
2020-08,2020,08,128.59,0.0
2020-09,2020,09,141.2,8.4
2020-10,2020,10,159.64,29.9
2020-11,2020,11,164.99,218.4
2020-12,2020,12,152.56,163.0
2021-01,2021,01,167.87,103.0
2021-02,2021,02,166.38,250.4
2021-03,2021,03,171.87,33.7
2021-04,2021,04,177.1,183.0
2021-05,2021,05,176.39,0.0
2021-06,2021,06,162.08,0.0
2021-07,2021,07,167.6,0.0
2021-08,2021,08,171.06,0.0
2021-09,2021,09,172.73,3.2
2021-10,2021,10,171.17,85.7
2021-11,2021,11,165.79,188.8
2021-12,2021,12,170.25,548.3
2022-01,2022,01,179.67,279.3
2022-02,2022,02,195.02,130.0
2022-03,2022,03,199.6,85.0
2022-04,2022,04,186.36,20.4
2022-05,2022,05,193.38,0.0
2022-06,2022,06,194.97,0.0
2022-07,2022,07,190.74,0.0
2022-08,2022,08,187.18,0.0
2022-09,2022,09,187.26,38.7
2022-10,2022,10,183.73,32.8
2022-11,2022,11,186.13,471.4
2023-01,2023,01,177.03,226.5
2023-02,2023,02,172.61,8.0
2023-03,2023,03,162.12,126.9
2023-04,2023,04,145.24,53.1
2023-05,2023,05,138.11,0.0
2023-06,2023,06,136.45,0.0
2023-07,2023,07,146.84,0.0
2023-08,2023,08,148.55,1.0
2023-09,2023,09,147.19,11.5
2023-10,2023,10,144.09,27.5
2023-11,2023,11,144.04,64.4
2024-01,2024,01,126.93,366.6
2024-02,2024,02,117.64,328.1
2024-03,2024,03,121.91,42.0
2024-04,2024,04,126.79,102.9
2024-05,2024,05,136.0,0.0
2024-06,2024,06,138.92,0.0
2024-07,2024,07,138.09,0.0
2024-08,2024,08,133.21,0.0
2024-09,2024,09,139.9,0.0
2024-10,2024,10,141.83,68.2
2024-11,2024,11,143.41,219.6
2024-12,2024,12,141.17,67.3
